chamber,epoch_id,epoch_step,average_speed
1,1,Gap,2.1438489308525406
2,1,Gap,2.721466259372396
3,1,Gap,2.266037211885587
4,1,Gap,2.2160510969175227
5,1,Gap,2.1938350458206046
6,1,Gap,3.487920022216051
7,1,Gap,2.1549569564009987
8,1,Gap,1.8328242154956953
9,1,Gap,2.2826992502082764
10,1,Gap,2.3715634545959463
11,1,Gap,2.5770619272424327
12,1,Gap,1.5273535129130802
13,1,Gap,2.2271591224659817
14,1,Gap,2.454873646209386
15,1,Gap,2.2771452374340457
16,1,Gap,2.1494029436267703
17,1,Gap,3.021382949180783
18,1,Gap,3.004720910858095
19,1,Gap,2.1660649819494586
20,1,Gap,2.404887531241322
1,2,Shock #1,2.1538461538461533
2,2,Shock #1,2.20879120879121
3,2,Shock #1,2.3791208791208787
4,2,Shock #1,2.027472527472528
5,2,Shock #1,2.241758241758241
6,2,Shock #1,2.395604395604395
7,2,Shock #1,2.0054945054945055
8,2,Shock #1,2.1153846153846154
9,2,Shock #1,1.7857142857142854
10,2,Shock #1,2.5384615384615383
11,2,Shock #1,1.637362637362637
12,2,Shock #1,2.1043956043956045
13,2,Shock #1,1.554945054945054
14,2,Shock #1,1.9450549450549453
15,2,Shock #1,2.692307692307692
16,2,Shock #1,3.1538461538461533
17,2,Shock #1,1.747252747252747
18,2,Shock #1,3.978021978021978
19,2,Shock #1,1.8076923076923075
20,2,Shock #1,1.170329670329671
1,3,Gap,2.3048951048951047
2,3,Gap,1.0405594405594405
3,3,Gap,2.2993006993006992
4,3,Gap,1.8293706293706289
5,3,Gap,1.8461538461538465
6,3,Gap,1.913286713286713
7,3,Gap,1.8517482517482515
8,3,Gap,1.6279720279720284
9,3,Gap,1.622377622377622
10,3,Gap,2.103496503496503
11,3,Gap,2.0475524475524485
12,3,Gap,2.1706293706293707
13,3,Gap,1.1076923076923073
14,3,Gap,1.4097902097902097
15,3,Gap,1.7230769230769234
16,3,Gap,2.75990675990676
17,3,Gap,2.830769230769231
18,3,Gap,2.3776223776223775
19,3,Gap,1.8741258741258744
20,3,Gap,3.5860139860139855
1,4,Shock #2,1.786600496277916
2,4,Shock #2,1.4998621450234362
3,4,Shock #2,2.360077198786876
4,4,Shock #2,2.28287841191067
5,4,Shock #2,2.3545629997242896
6,4,Shock #2,2.382133995037221
7,4,Shock #2,1.9630548662806722
8,4,Shock #2,2.3049352081610146
9,4,Shock #2,2.078853046594982
10,4,Shock #2,2.045767852219465
11,4,Shock #2,2.21119382409705
12,4,Shock #2,1.7480011028398124
13,4,Shock #2,1.3564929693961956
14,4,Shock #2,1.7866004962779158
15,4,Shock #2,2.35456299972429
16,4,Shock #2,2.3729436632662435
17,4,Shock #2,2.2553074165977396
18,4,Shock #2,3.76068376068376
19,4,Shock #2,2.0402536531568782
20,4,Shock #2,1.6763165150261918
1,5,Gap,1.1804195804195805
2,5,Gap,1.5776223776223766
3,5,Gap,1.8573426573426575
4,5,Gap,1.538461538461538
5,5,Gap,0.47552447552447574
6,5,Gap,2.1594405594405597
7,5,Gap,1.5160839160839161
8,5,Gap,1.605594405594406
9,5,Gap,1.3482517482517486
10,5,Gap,1.9132867132867142
11,5,Gap,1.4433566433566436
12,5,Gap,1.3202797202797212
13,5,Gap,1.2307692307692308
14,5,Gap,0.9398601398601396
15,5,Gap,1.4209790209790214
16,5,Gap,2.786013986013986
17,5,Gap,2.2545454545454544
18,5,Gap,3.56923076923077
19,5,Gap,1.6111888111888109
20,5,Gap,1.7790209790209786
1,6,Shock #3,1.5384615384615392
2,6,Shock #3,1.0201268265784385
3,6,Shock #3,1.7866004962779156
4,6,Shock #3,1.5660325337744692
5,6,Shock #3,2.0953956437827412
6,6,Shock #3,1.8748276812792946
7,6,Shock #3,1.411634960022057
8,6,Shock #3,1.9299696719051567
9,6,Shock #3,1.8582850840915368
10,6,Shock #3,1.8086572925282598
11,6,Shock #3,2.051282051282052
12,6,Shock #3,1.1138682106424036
13,6,Shock #3,1.7921146953405018
14,6,Shock #3,1.6046319272125718
15,6,Shock #3,2.5365315687896333
16,6,Shock #3,1.1414392059553344
17,6,Shock #3,2.06782464846981
18,6,Shock #3,3.595257788806176
19,6,Shock #3,1.748001102839813
20,6,Shock #3,2.045767852219465
1,7,Gap,1.215161649944258
2,7,Gap,1.4882943143812715
3,7,Gap,2.157190635451505
4,7,Gap,1.2597547380156071
5,7,Gap,0.3678929765886286
6,7,Gap,1.4659977703455964
7,7,Gap,1.4269788182831658
8,7,Gap,1.9230769230769234
9,7,Gap,1.1817168338907467
10,7,Gap,1.856187290969899
11,7,Gap,1.4325529542920843
12,7,Gap,1.5440356744704584
13,7,Gap,1.3600891861761426
14,7,Gap,0.9141583054626531
15,7,Gap,1.2653288740245263
16,7,Gap,2.5808249721293204
17,7,Gap,2.3132664437012265
18,7,Gap,2.7034559643255287
19,7,Gap,1.3935340022296536
20,7,Gap,1.304347826086956
1,8,Shock #4,0.7470946319867184
2,8,Shock #4,1.8594355285002775
3,8,Shock #4,2.097399003873824
4,8,Shock #4,2.080796900940786
5,8,Shock #4,1.7155506364139461
6,8,Shock #4,1.6325401217487552
7,8,Shock #4,1.4941892639734362
8,8,Shock #4,2.042058660763696
9,8,Shock #4,1.7100166021029326
10,8,Shock #4,1.8815716657443284
11,8,Shock #4,1.7487548422800225
12,8,Shock #4,1.3447703375760915
13,8,Shock #4,1.8649695628112906
14,8,Shock #4,1.4499169894853352
15,8,Shock #4,1.8317653569452133
16,8,Shock #4,2.7780852241283904
17,8,Shock #4,2.3741007194244603
18,8,Shock #4,3.8996495111603022
19,8,Shock #4,2.1029330381848363
20,8,Shock #4,1.9701162147205311
1,9,Gap,1.6439877811718968
2,9,Gap,1.3107470147181344
3,9,Gap,0.7053596223271312
4,9,Gap,1.4107192446542627
5,9,Gap,0.33324076645376277
6,9,Gap,1.6884198833657311
7,9,Gap,1.743960011108026
8,9,Gap,1.699527908914191
9,9,Gap,1.5773396278811451
10,9,Gap,1.1441266314912526
11,9,Gap,1.027492363232436
12,9,Gap,1.3718411552346563
